parent,label,updated,date,confirmed,recovered,deaths,lon,lat,source,source_url,scraper
Australien,New South Wales,1585599656000,2020-03-30T22:20:56+02:00,2032,4,8,151.2093,-33.8688,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Northern Territory,1585599656000,2020-03-30T22:20:56+02:00,15,0,0,130.8456,-12.4634,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Australian Capital Territory,1585599656000,2020-03-30T22:20:56+02:00,78,2,1,149.0124,-35.4735,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Queensland,1585599656000,2020-03-30T22:20:56+02:00,689,8,2,153.0251,-27.4698,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,South Australia,1585599656000,2020-03-30T22:20:56+02:00,305,6,0,138.6007,-34.9285,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Tasmania,1585599656000,2020-03-30T22:20:56+02:00,66,5,0,147.3272,-42.8821,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Victoria,1585599656000,2020-03-30T22:20:56+02:00,821,191,4,144.9631,-37.8136,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Australien,Western Australia,1585599656000,2020-03-30T22:20:56+02:00,355,41,2,115.8605,-31.9505,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Kanada,Ontario,1585599642000,2020-03-30T22:20:42+02:00,1706,0,21,-85.3232,51.2538,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Kanada,Nova Scotia,1585599642000,2020-03-30T22:20:42+02:00,127,0,0,-63.7443,44.682,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
Kanada,Manitoba,1585599642000,2020-03-30T22:20:42+02:00,96,0,1,-98.8139,53.7609,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
