Bundesland,Fälle,Genesene,Todesfälle,Latitude,Longitude
Alb-Donau-Kreis,6,,,48.4,9.79
Baden-Baden (Stadtkreis),3,,,48.66,9.35
Biberach,5,,,48.1,9.79
Böblingen,9,,,48.68,9.01
Bodenseekreis,8,,,47.72,9.38
Breisgau-Hochschwarzwald,19,,,47.92,7.7
Calw,15,,,48.71,8.75
Emmendingen,17,,,48.12,7.85
Enzkreis,3,,,48.99,8.78
Esslingen,65,,,48.74,9.32
Freiburg im Breisgau (Stadtkreis),18,,,48,7.84
Freudenstadt,2,,,48.46,8.42
Göppingen,14,,,48.71,9.65
Heidelberg (Stadtkreis),2,,,49.4,8.67
Heidenheim,8,,,48.69,10.16
Heilbronn,32,,,49.14,9.21
Heilbronn (Stadtkreis),1,,,49.9,9.12
Hohenlohekreis,8,,,49.25,9.6
Karlsruhe,16,,,49.01,8.4
Karlsruhe (Stadtkreis),8,,,49,8.42
Konstanz,7,,,47.68,9.17
Lörrach,6,,,47.62,7.67
Ludwigsburg,24,,,48.89,9.2
Main-Tauber-Kreis,28,,,49.57,9.71
Mannheim (Stadtkreis),22,,,49.49,8.47
Neckar-Odenwald-Kreis,4,,,49.44,9.25
Ortenaukreis,16,,,48.46,7.93
Ostalbkreis,13,,,48.88,10.1
Pforzheim (Stadtkreis),4,,,48.89,8.69
Rastatt,12,,,48.86,8.21
Ravensburg,8,,,47.78,9.61
Rems-Murr-Kreis,23,,,48.89,9.53
Reutlingen,11,,,48.51,9.2
Rhein-Neckar-Kreis,28,,,49.32,8.79
Rottweil,2,,,48.16,8.63
Schwäbisch Hall,17,,,49.11,9.74
Schwarzwald-Baar-Kreis,3,,,48.06,8.46
Sigmaringen,6,,,48.09,9.23
Stuttgart,40,,,48.78,9.18
Tübingen,9,,,48.52,0.06
Tuttlingen,,,,47.98,8.81
Ulm (Stadtkreis),5,,,48.4,9.99
Waldshut,1,,,47.63,8.27
Zollernalbkreis,21,,,48.29,8.93
