Bundesland,Fälle,Genesene,Todesfälle,Latitude,Longitude
Aichach-Friedberg,1,,,48.39,11.07
Amberg-Sulzbach,7,,,49.46,11.72
Aschaffenburg,3,,,49.98,9.14
Aschaffenburg Stadt,6,,,49,9
Augsburg,25,,,48.37,10.9
Augsburg Stadt,6,,,48.33,10.86
Bad Kissingen,3,,,50.2,10.08
Bad Tölz-Wolfratshausen,10,,,47.76,11.57
Bamberg,7,,,49.9,10.9
Bamberg Stadt,1,,,49,10
Bayreuth,5,,,49.95,11.57
Cham,21,,,49.22,12.66
Coburg,3,,,50.26,10.96
Deggendorf,1,,,48.84,12.96
Dingolfing-Landau,13,,,48.63,12.57
Donau-Ries,3,,,48.83,10.71
Ebersberg,21,,,48.08,11.96
Eichstätt,2,,,48.89,11.19
Erding,11,,,48.31,11.92
Erlangen Stadt,6,,,49.59,11.01
Erlangen-Höchstadt,10,,,49,11
Forchheim,4,,,49.72,11.07
Freising,74,,,48.4,11.74
Fürstenfeldbruck,18,,,48.17,11.24
Fürth,3,,,49.48,10.99
Fürth Stadt,8,,,48,10
Haßberge,6,,,50.11,10.61
Hof,3,,,50.31,11.91
Hof Stadt,1,,,50.45,11.75
Ingolstadt Stadt,1,,,48.77,11.43
Kaufbeuren Stadt,1,,,47.88,10.62
Kelheim,3,,,48.92,11.89
Kitzingen,3,,,49.73,10.15
Kronach,2,,,50.26,11.33
Landsberg am Lech,4,,,48.05,10.87
Landshut,8,,,48.54,12.15
Landshut Stadt,4,,,48,12
Lindau (Bodensee),12,,,47.58,9.68
Main-Spessart,5,,,49.99,9.64
Memmingen Stadt,1,,,47.98,10.18
Miesbach,15,,,47.7,11.83
Miltenberg,4,,,49.7,9.26
München,38,,,48.14,11.58
München Stadt,187,,,48.1,11.5
Neu-Ulm,10,,,48.39,10.01
Neumarkt i.d.Opf.,5,,,49.28,11.47
Neustadt a.d. Aisch-Bad Windsheim,4,,,49.59,10.47
Neustadt a.d. Waldnaab,1,,,49.73,12.18
Nürnberg Stadt,24,,,49.45,11.08
Nürnberger Land,2,,,49.49,11.41
Oberallgäu,24,,,47.54,10.28
Ostallgäu,10,,,47.78,10.63
Passau,15,,,48.57,13.43
Passau Stadt,3,,,48,13
Pfaffenhofen a.d.Ilm,7,,,48.52,11.51
Regen,6,,,48.98,13.13
Regensburg,8,,,49.01,12.1
Regensburg Stadt,6,,,49,12
Rosenheim,17,,,47.86,12.12
Rosenheim Stadt,1,,,47,12
Roth,4,,,49.25,11.09
Rottal-Inn,14,,,48.39,12.95
Schwabach Stadt,1,,,49.33,11.02
Schwandorf,7,,,49.32,12.11
Schweinfurt,5,,,50.05,10.22
Starnberg,42,,,48,11.34
Straubing Stadt,4,,,48.88,12.58
Straubing-Bogen,2,,,48.92,12.67
Tirschenreuth,17,,,49.88,12.33
Traunstein,10,,,47.87,12.64
Weiden Stadt,6,,,49.67,12.15
Weilheim-Schongau,13,,,47.83,11.06
Weißenburg-Gunzenhausen,2,,,49.05,1091
Würzburg,26,,,49.79,9.95
Würzburg Stadt,20,,,49,9
