Bundesland,Fälle,Genesene,Todesfälle,Latitude,Longitude,zeit
Bergstraße,6,,,49.67,8.61,"13. März 2020, 14:00 Uhr"
Darmstadt-Stadt,0,,,49.87,8.65,
Darmstadt-Dieburg,1,,,48.89,8.86,
Frankfurt,15,,,50.11,8.68,
Fulda,5,,,50.56,9.68,
Gießen,5,,,50.58,8.67,
Groß-Gerau,1,,,49.92,8.48,
Hersfeld-Rotenburg,6,,,50.9,9.74,
Hochtaunuskreis,4,,,50.23,8.6,
Region Kassel,6,,,51.44,9.37,
Lahn-Dill-Kreis,5,,,50.67,8.36,
Limburg-Weilburg,0,,,50.43,8.18,
Main-Kinzig-Kreis,2,,,50.27,9.3,
Main-Taunus-Kreis,3,,,50.12,8.42,
Marburg-Biedenkopf,7,,,50.81,8.73,
Odenwaldkreis,0,,,49.63,8.99,
Offenbach-Landkreis,5,,,50.03,8.83,
Offenbach-Stadt,1,,,50.1,8.78,
Rheingau-Taunus-Kreis,5,,,50.19,8.11,
Schwalm-Eder-Kreis,1,,,51.03,9.4,
Vogelsbergkreis,2,,,50.6,9.31,
Waldeck-Frankenberg,4,,,51.22,8.85,
Werra-Meißner-Kreis,0,,,51.22,9.96,
Wetteraukreis,1,,,50.38,8.91,
Wiesbaden-Stadt,6,,,50.08,8.24,
